1-	图1为山东省四处著名旅游景观。读图，回答第1题。
1-1	图中
1-A	甲属于地质地貌景观类型
1-B	乙因其科学价值而吸引游客
1-C	丙的观赏需洞悉文化定位
1-D	丁是世界自然、文化双遗产

2-	图2为中国部分区域图。读图，回答第2、3题。
2-2	图中
2-A	①山脉是我国地势第一、二级阶梯分界线
2-B	②山脉是我国湿润区和半湿润区的分界线
2-C	③平原灌溉便利，可扩大双季稻种植面积
2-D	④高原旱灾频发，应大规模发展畜牧业

2-3	黄土高原地区
3-A	加大能源开发，是区域可持续发展的根本措施
3-B	扩大开垦荒地，利于提高农业机械化水平
3-C	保持传统耕作技术，有助于提高环境承载力
3-D	开展小流域综合治理，利于充分利用水土资源

3-	清江是长江中游南岸的重要支流，流域面积近17000多平方千米，流经鄂西山地，总落差1500米，历史上多洪涝灾害。现在清江上已建有高坝洲、隔河岩、水布垭等水利工程，对流域内的开发建设有积极意义。回答第4、5题。 
3-4	清江流域洪涝灾害多发的主要原因是
4-A	支流少，流域面积广
4-B	降水多，季节变化大
4-C	地势低平，排水不畅
4-D	落差大，多曲流
3-5	清江流域的综合开发
5-A	实行梯级开发，实现全流域通航
5-B	修建水利工程，为工业发展提供原料
5-C	扩大灌溉面积，发展河谷农业
5-D	发展旅游业，促进区域产业结构调整

4-	图3为1972～2010年淮河流域冬小麦各生育期年平均水分亏缺率的空间分布图，水分亏缺率数值越大表示缺水状况越严重。图中a、b、C、d为该流域的四个地点。读图，回答第6题。 
4-6	各生育期年平均水分亏缺率
6-A	空间分布的总趋势由北向南递减
6-B	四地点变化由大到小排序是d—c-b—a
6-C	空间分布的主要影响因素是地形
6-D	反映冬小麦生育期内需水量逐渐变小

5-	“南洋”一词始于明、清时期我国对东南亚地区的称呼。近年来，很多中国企业投资东南亚国家，掀起新一轮“下南洋”的热潮。图4为中国企业在东南亚部分国家投资项目的示意图。读图，回答第7、8题。 
5-7	东南亚国家吸引中国企业“下南洋”的原因有
7-A	地势平坦，适宜橡胶、椰子等作物生长
7-B	山水相邻，陆路交通比海运更便捷安全
7-C	部分国家土地、劳动力等生产成本低廉
7-D	城市密集，经济发达，国内外市场广阔
5-8	马六甲海峡 
8-A	由亚欧板块和印度洋板块张裂形成
8-B	受东南信风影响，该海域风大浪急
8-C	沟通两大洋，是海上航运的重要通道
8-D	分隔两大陆，为亚洲与大洋洲分界线

6-	图5为2009。2013年中国海洋生产产值统计图。读图，回答第9、10题。 
6-9	图中
9-A	海洋生产总值占GDP的比重持续上升
9-B	海洋三大产业生产总值的增速相同
9-C	海洋第一产业发展可增加生物多样性
9-D	海洋产业结构重心向第三产业转移
6-10	海洋
10-A	是近海面大气主要的水、热来源
10-B	锰结核分布在浅海大陆架地区
10-C	海运是各国主要的交通运输方式
10-D	岛屿多为人口稠密的经济发达区

7-	根据《北京交通发展纲要（2014～2030年）》，京津冀三省市将合力打造“一环六放射”的高速路网交通一体化体系。其中的“一环”是指全长约940千米、环绕北京的大外环绕城公路。图6为京津冀“一环六放射”交通体系示意图。读图，回答第ll题。 
7-11	该交通体系的建立有利于
11-①	提高运输效率
11-②	增加运输方式
11-③	加强地域联系
11-④	促进城市群互动发展
11-A	①②③
11-B	②③④
11-C	①③④
11-D	①②④ 
