1-	图1为大洋中脊扩张示意图及热液区景观图。读图，回答第1题。
1-1	图中热液区
1-A	不会发生地震
1-B	适宜旅游开发
1-C	岩石圈的厚度最薄
1-D	处于板块消亡边界

2-	图2表示绿水资源与蓝水资源的划分，蓝水是降水中形成地表水和地下水的部分，绿水是降水下渗到土壤中的水，最终会进入大气。读图，回答2、3题。
2-2	据图
2-A	蓝水和绿水根本来源相同
2-B	蓝水数量与绿水数量相同
2-C	绿水主要指地表和地下径流
2-D	通常所说的水资源是指绿水
2-3	绿水
3-A	直接参与了地表形态的塑造
3-B	对海陆间循环产生明显影响
3-C	吸收地面辐射，具有保温作用
3-D	对湿润地区农业发展至关重要

3-	图3是我国西南部分地区锋面位置示意图，所示天气系统冬季较长时间控制该地区，锋面云层向东可延伸到贵阳上空。读图，回答4、5题。
3-4	此时，昆明
4-A	降水量较大
4-B	气压较贵阳高
4-C	以晴天为主
4-D	气温日较差小
3-5	与云南省相比，贵州省
5-A	冬季低温危害较大
5-B	全年太阳辐射充足
5-C	洪涝灾害多在冬季
5-D	生物种类更加丰富

4-	读图4，回答6、7题。
4-6	我国主要入海河流年总输沙量变化可能是由于
6-A	水土流失现象加剧
6-B	河流沿岸大规模挖砂
6-C	修建水库数量增多
6-D	近十年降水持续偏多
4-7	据图推断，近年我国
7-A	滨海盐碱化趋势减弱
7-B	台风破坏程度明显降低
7-C	沿岸湿地的面积缩小
7-D	河口附近海岸侵蚀后退


5-	图5表示2009年北京市城市热岛的季节变化。读图，回答8、9题。
5-8	该图数据来源最有可能是
8-A	卫星遥感资料
8-B	GIS获取的气象资料
8-C	GPS地面监测
8-D	根据历史资料推算
5-9	北京市
9-A	春季因升温快，热岛效应最强
9-B	夏季城郊间热力环流最为明显
9-C	秋季城区和郊区温差达到最大
9-D	冬季盛行西北风降低热岛强度

6-	图6表示我国西北地区养羊业“牧区繁殖，农区育肥”生产模式。读图，回答10、11题。
6-10	该生产模式
10-A	主要是依靠降水发展种植业
10-B	既发展种植业也发展畜牧业
10-C	农业区夏季向牧区提供牧草
10-D	畜产品由牧区直接进入市场
6-11	随着该模式的推广
11-①	农牧业形成良性发展
11-②	草原载畜量极大提高
11-③	城市人口大量迁入
11-④	牧区抵御灾害能力增强
11-⑤	农业生产更适应市场变化
11-⑥	吸引农畜产品加工企业落户
11-A	①②③④
11-B	①③④⑤
11-C	②③⑤⑥
11-D	①④⑤⑥
