1-	下图为“某地住宅建筑冬夏正午日照示意图”。完成下列各题。
1-1	该地可能是
1-A	刚果盆地
1-B	撒哈拉沙漠南缘
1-C	巴西高原
1-D	北美洲五大湖地区
1-2	仅考虑地球运动，图示窗户、屋檐的搭建对室内光热的影响有
2-①	利于夏季遮阳、冬季采光
2-②	冬至到春分，正午室内的日照面积逐渐增大
2-③	春分到夏至，正午屋檐的遮阳作用逐渐增强
2-④	冬暖夏凉，利于减少能源的消耗
2-A	①②③
2-B	①②④
2-C	①③④
2-D	②③④

2-	读下图世界海陆分布及地球公转轨道示意图，回答下列各题。
2-3	在图示季节中，一位地理学家在e地看到日落正西方，1小时之后下列各地发生的现象是
3-A	a—阳光直射
3-B	b—夕阳西下
3-C	c—旭日东升
3-D	d—午后秋阳
2-4	在之后的两个月中，下列变化规律符合实际的是
4-A	a地白昼逐渐变长
4-B	a.c两地气温都在下降
4-C	b地牧草日益茂盛
4-D	c.d两地河流水位升高

3-	某市寻找适合布局工厂的地点，该厂址要满足两个条件：①地形平坦；②距河流1km范围内。下图中“空间资料”是该市地形与河流的空间分布，每一小方格代表1km2(该区面积共16km2)；“属性资料”是地形和河流的类别资料。根据选址条件，对照空间资料和属性资料，符合条件为“1”，不符合条件为“0”，若同一小方格内有两种不同属性类别分布时，为求简化，占有面积比例较大的属性作为评估对象。完成下列各题。
3-5	下列是四幅“河流”资料的评估值图，其中正确的是
5-A	①
5-B	②
5-C	③
5-D	④
3-6	根据地形、河流两项资料的综合评估，下图中适合布局工厂的地点是
6-A	甲.乙
6-B	乙.丙
6-C	乙.丁
6-D	甲.丙

4-	下图中，①、②、③、④表示某区域地形类型中的山脊和山谷，点a、b、c对应的海拔分别为900米、600米、300米。读图完成下列各题。
4-7	①、②、③、④沿线坡度最平缓的是
7-A	①
7-B	②
7-C	③
7-D	④
4-8	降落到P点的雨水会向
8-A	南方流动
8-B	东南方流动
8-C	西南方流动
8-D	北方流动

5-	读下图“山东烟台附近某山区村庄某时刻等压面示意图”，回答下列各题。
5-9	下列关于图中时刻的叙述，正确的是
9-①	图中等压面一般出现在夜晚
9-②	图中等压面一般出现在白天
9-③	此时风向由Q到P
9-④	此时风向由P到Q
9-A	①③
9-B	①④
9-C	②③
9-D	②④
5-10	在晴朗的夜晚该谷地上空会出现逆温现象，逆温层产生的原因是
10-A	山坡上的冷空气沿山坡下沉到谷底，谷底的较暖空气被冷空气抬升
10-B	山顶接受的太阳辐射多，山谷接受的太阳辐射少
10-C	山顶离太阳近，山谷离太阳远
10-D	在对流层，气温随高度增加而递减

6-	某地理小组做了如下实验：两个相同规格的玻璃箱(如下图)，甲底部放一层土，乙底部放一层水，中午同时把两个玻璃箱放在日光下，十五分钟后，同时测玻璃箱内的气温，结果发现甲箱比乙箱的气温高了3℃。据此完成下列各题。
6-11	该实验主要目的是测试
11-A	大气的温室效应
11-B	大气环流
11-C	一天中最高气温出现的时刻
11-D	大气主要的直接热源为地面辐射
6-12	甲箱温度计比乙箱温度计高的原因是
12-A	太阳辐射强弱差异
12-B	地面辐射强弱差异
12-C	大气吸热强弱差异
12-D	大气辐射强弱差异

7-	下图为“气压带、风带移动示意图”。读图完成下列各题。
7-13	关于甲图所示季节各纬度带气流运动的说法，正确的是
13-A	0°～10°N盛行下沉气流
13-B	10°N～20°N盛行东南风
13-C	20°N～30°N盛行西北风
13-D	30°N～40°N盛行西南风
7-14	甲、乙两图反映的时间与季节正确的是
14-A	甲表示3月份.春季
