1-	读图，回答1~2题。 

1-1	设A.B两地和A.D两地之间的距离分别为S1和S2，则
1-A	S1=1.5S2
1-B	S1=S2
1-C	S1=0.5S2
1-D	S1=2S2

1-2	若A、C两地同时位于晨昏线上，则一年中这种情形会出现
2-A	1次
2-B	2次
2-C	3次
2-D	4次

2-	春分日某地理小组在我国图示地区进行地理考察，测得A.B.C三个地点的气温分别为14.3℃、14.8℃、14.8℃。据此完成3~4题。 

2-3	上图示地区的地形最有可能是
3-A	高原
3-B	平原
3-C	山地
3-D	丘陵

2-4	若沿图中的C—B作一条地形剖面，比较正确的地形剖面图是
4-A	【图片】
4-B	【图片】
4-C	【图片】
4-D	【图片】

-5	下图为沿某纬线圈的地形剖面图。该纬线圈可能是 
5-A	30°S
5-B	40°S
5-C	40°N
5-D	60°N

3-	读下图完成6~7题。

3-6	甲图为大气受热过程示意图。青藏高原与四川盆地纬度相当，关于两地热力状况的比较，正确的是
6-A	青藏高原的年平均气温较低，与①大小有关
6-B	四川盆地的年太阳总辐射量较小，与②大小有关
6-C	四川盆地的气温日较差较小，与③大小有关
6-D	青藏高原的年太阳辐射总量较大，与④大小有关

3-7	乙图为地壳物质循环示意图，图中①②③④表示地质作用，下列叙述正确的是
7-A	大理岩属于甲类岩石
7-B	乙、丙类岩石含有化石
7-C	①表示板块的碰撞挤压
7-D	②③④均属于内力作用

4-	读我国某河流补给状况示意图，回答8~9题。 

4-8	图中a、b、c三种补给类型分别是
8-A	地下水、大气降水、积雪融水
8-B	大气降水、地下水、积雪融水
8-C	积雪融水、大气降水、地下水
8-D	大气降水、积雪融水、地下水

4-9	下列关于图示河流所在区域自然环境特征描述正确的是
9-A	植被以草原和荒漠为主
9-B	光、热、水资源丰富
9-C	土壤肥力高
9-D	河流含沙量大

5-	下图为某地地质构造剖面图，据此完成10~11题。 

5-10	下列地点中能够露天开采煤矿且比较安全的是
10-A	甲
10-B	乙
10-C	丙
10-D	丁

5-11	从矿难成因上看，图中a、b两处最容易发生的矿难事故分别是
11-A	瓦斯爆炸和透水事故
11-B	井喷事故和瓦斯爆炸
11-C	透水事故和瓦斯爆炸
11-D	透水事故和井喷事故

6-	读下图，回答12~13题。 

6-12	图示区域主要的农业地域类型是
12-A	大牧场放牧业
