36-	读图10，回答下列问题。
36--1	说明甲地降水特征及其形成原因。

36--2	指出乙、丙两区的农业地域类型。与乙区相比，说明两区农业生产的自然优势。

36-1	澳大利亚是世界主要蔗糖生产和出口国，甘蔗种植区主要分布在东部沿海多雨的平原和河谷地带，所产蔗糖的75%以上销往30多个国家和地区。
36-1-3	指出澳大利亚蔗糖加工业的主要分布地区，简述其区位因素。

36-2	澳大利亚拥有艾尔斯巨石、大堡礁等10多处世界遗产。
36-2-4	简述大堡礁相对于艾尔斯巨石的旅游资源开发优势。

36--5	说出澳大利亚东岸污染扩散的特点，并分析其主要原因。

39-	随着世界经济的发展，二氧化碳的排放量不断增加。目前，碳排放已成为全球普遍关注的问题。

39-1	直到18世纪初，人类主要使用水力和木材等可再生能源，但这时英国一些冶铁炉因为木炭短缺而不得不停产。工业革命初期，水力比煤炭更为廉价，许多英国纺织厂仍然依靠水力；由于煤炭运输成本较高，一些新工业企业不得不建在煤田附近。
39-1-1	结合材料和所学，指出1830年后英国煤产量增长趋势与此前有何不同，并分析其原因。

39-2	图13是21世纪初某年世界部分国家碳排放状况分布示意图。据图回答第（2）题。
39-2-2	在美国、俄罗斯、法国、印度四国中任选一个国家，指出该国相对于中国的碳排放特点。

39--3	说明大气中二氧化碳浓度增加对大气受热过程的影响。

40-	在长期的抗灾斗争中，中华民族表现出高度的聪明才智和强大的民族凝聚力。
40-1	国家建立救灾物资储备库是救灾应急措施之一。储备库选址应遵循储存安全调运方便的原则。
40-1-2	运用地理学知识说出满足上述原则的救灾物资储备库选址条件。
