36-	北京与河北张家口相邻。读下图，回答下列问题：
36--1	说明百余年来北京至张家口之间交通运输的变化，并分析此变化对聚落兴衰的影响。
36-1	2014年7月，在北京市延庆县召开的第11届葡萄大会上，延庆与张家口市怀来县签订了葡萄产区合作协议，打造“延怀河谷，葡萄酒乡”品牌，促进区域协同发展。
36-1-2	简述“延怀河谷”协同发展葡萄产业对区域经济的影响。
36-2	北京市与张家口市联合申办2022年冬奥会。
36-2-3	概述崇礼作为雪上项目主赛场的气候条件。
36-3	为了改善区域环境质量，张家口市积极推进能源生产结构调整。
36-3-4	举例说明张家口市能源生产结构调整的方向和地理条件。

40-	丝绸之路东起中国西安，西至埃及亚历山大。
40-1	陆上丝绸之路是东西方交往的重要通道，分为东西两段，东段主要在今中国境内，其正式开通源自张骞通西域，汉与西域的交往主要通过河西走廊；南北朝时期，由于河西走廊被割据政权占领，南朝与西域的交往主要通过今青海境内的青海道；唐朝统一后，河西走廊又恢复了在丝绸之路中的主导地位；11世纪西夏崛起，青海道和河西走廊被切断，北宋只能向北渡过黄河，再由河套地区向西进入西域。从元朝起，河西走廊成为中西方交往的稳定通道。

40-1-2	在上图的甲、乙两地中任选其一，说明主要农作物及其分布，并阐述农业发展的自然地理条件。

41-	世界博览会通过展示科学技术发展，预示世界发展方向。1962年世博会在美国西雅图举行。
41-1	随着产业的不断升级，人类生活发生着巨大变化，下图是西雅图主导产业变化过程示意图。
41-1-1	归纳西雅图产业转型过程中主导区位因素的变化。
